episode,attempt,grasp_offset_x_m,grasp_offset_y_m,grasp_verified,grasp_lift_m,max_bowl_lift_m,pre_release_support_contact,pre_release_support_stable_steps,pre_release_linear_speed_m_s,released_before_retreat,post_release_support_contact,post_release_support_stable_steps,post_release_max_displacement_m,safe_success,task_success,native_task_success,place_xy_offset_m,place_bottom_gap_m,place_xy_sanity_ok,occluder_displacement_m,occluder_stable,reason,failure_stage,failure_initial_error_m,failure_best_error_m,failure_final_error_m,gripper_close_sign,gripper_open_sign,gripper_aperture_after_minus,gripper_aperture_after_plus,steps,video_path
0,4,0.0,-0.033476685683882,1,0.03679681023105419,0.03758948388796857,1,10,0.0001120070172118391,1,1,10,0.006649905761156667,1,True,True,0.017832177968494164,-0.09956727643106489,True,0.0005881722115389208,1,,,nan,nan,nan,1.0,-1.0,0.07830473435233003,0.02182516730382192,444,experiments/logs/l1b5_native_gripper_safe_reference_videos/task6_ep000_attempt04_safe.mp4
1,0,0.0,-0.033476685683882,1,0.03679760395185527,0.03759055541924239,1,10,0.00011238956217829953,1,1,10,0.006650331627213369,1,True,True,0.017830283082675886,-0.0995674632210044,True,0.0005881722115389208,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,434,
2,0,0.0,-0.033476685683882,1,0.03679760395185527,0.03759055541924239,1,10,0.00011238956217829953,1,1,10,0.006650331627213369,1,True,True,0.017830283082675886,-0.0995674632210044,True,0.0005881722115389208,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,434,
3,0,0.0,-0.033476685683882,1,0.03679760395185527,0.03759055541924239,1,10,0.00011238956217829953,1,1,10,0.006650331627213369,1,True,True,0.017830283082675886,-0.0995674632210044,True,0.0005881722115389208,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,434,
4,0,0.0,-0.033476685683882,1,0.03679760395185527,0.03759055541924239,1,10,0.00011238956217829953,1,1,10,0.006650331627213369,1,True,True,0.017830283082675886,-0.0995674632210044,True,0.0005881722115389208,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,434,
5,0,0.0,-0.033476685683882,1,0.03679760395185527,0.03759055541924239,1,10,0.00011238956217829953,1,1,10,0.006650331627213369,1,True,True,0.017830283082675886,-0.0995674632210044,True,0.0005881722115389208,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,434,
6,0,0.0,-0.033476685683882,1,0.03679760395185527,0.03759055541924239,1,10,0.00011238956217829953,1,1,10,0.006650331627213369,1,True,True,0.017830283082675886,-0.0995674632210044,True,0.0005881722115389208,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,434,
7,0,0.0,-0.033476685683882,1,0.03679760395185527,0.03759055541924239,1,10,0.00011238956217829953,1,1,10,0.006650331627213369,1,True,True,0.017830283082675886,-0.0995674632210044,True,0.0005881722115389208,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,434,
8,0,0.0,-0.033476685683882,1,0.03679760395185527,0.03759055541924239,1,10,0.00011238956217829953,1,1,10,0.006650331627213369,1,True,True,0.017830283082675886,-0.0995674632210044,True,0.0005881722115389208,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,434,
9,0,0.0,-0.033476685683882,1,0.03679760395185527,0.03759055541924239,1,10,0.00011238956217829953,1,1,10,0.006650331627213369,1,True,True,0.017830283082675886,-0.0995674632210044,True,0.0005881722115389208,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,434,
10,0,0.0,-0.033476685683882,1,0.03679760395185527,0.03759055541924239,1,10,0.00011238956217829953,1,1,10,0.006650331627213369,1,True,True,0.017830283082675886,-0.0995674632210044,True,0.0005881722115389208,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,434,
