episode,attempt,grasp_offset_x_m,grasp_offset_y_m,grasp_verified,grasp_lift_m,safe_success,task_success,native_task_success,place_xy_offset_m,place_bottom_gap_m,place_xy_sanity_ok,occluder_displacement_m,occluder_stable,reason,failure_stage,failure_initial_error_m,failure_best_error_m,failure_final_error_m,gripper_close_sign,gripper_open_sign,gripper_aperture_after_minus,gripper_aperture_after_plus,steps
0,3,0.0,0.033476685683882,1,0.13818358574336875,1,True,True,0.005196183002607621,-0.10079342885837106,True,0.00017471377032577496,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,462
1,0,0.0,0.033476685683882,1,0.13818358574336875,1,True,True,0.005196183002607621,-0.10079342885837106,True,0.0001542969368782558,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,462
2,0,0.0,0.033476685683882,1,0.13818358574336853,1,True,True,0.003976194585481047,-0.100836643186625,True,0.0001487504122347338,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,462
3,0,0.0,0.033476685683882,1,0.13818358574336853,1,True,True,0.003976194585481047,-0.100836643186625,True,0.00016017998382867734,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,462
4,0,0.0,0.033476685683882,1,0.13818358574336875,1,True,True,0.003999531820527196,-0.10083666267369862,True,0.00013964925368043236,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,462
5,0,0.0,0.033476685683882,1,0.13818358574336875,1,True,True,0.005196183002607621,-0.10079342885837106,True,0.00013600943512538552,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,462
6,0,0.0,0.033476685683882,1,0.13818358574336875,1,True,True,0.005196183002607621,-0.10079342885837106,True,0.0001375084506860404,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,462
7,0,0.0,0.033476685683882,1,0.13818358574336875,1,True,True,0.005196183002607621,-0.10079342885837106,True,0.00023039514901328112,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,462
8,0,0.0,0.033476685683882,1,0.13818358574336875,1,True,True,0.005196183002607621,-0.10079342885837106,True,0.00019230992678293508,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,462
9,0,0.0,0.033476685683882,1,0.13818358574336898,1,True,True,0.0052359097947617585,-0.10079183064791308,True,0.00016139102090638108,1,,,nan,nan,nan,1.0,-1.0,0.07582449613325136,0.021792610217154926,462
